Calls for Service and Prevention,Crime and NonCrime Demand,Alert Level,District,Area,No
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,12
Demand,Crime,2,Bay Of Plenty,Rotorua Area,5
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,35
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,7
Demand,Crime,2,Bay Of Plenty,Taupo Area,6
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,10
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,17
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,12
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,2
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,12
Demand,Crime,2,Bay Of Plenty,Rotorua Area,5
Demand,Crime,2,Bay Of Plenty,Rotorua Area,3
Demand,Crime,2,Bay Of Plenty,Rotorua Area,38
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,3
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Taupo Area,18
Demand,Crime,2,Bay Of Plenty,Taupo Area,9
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,15
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,7
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,38
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,17
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,4
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,9
Demand,Crime,2,Bay Of Plenty,Eastern Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,4
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Rotorua Area,4
Demand,Crime,2,Bay Of Plenty,Rotorua Area,20
Demand,Crime,2,Bay Of Plenty,Rotorua Area,13
Demand,Crime,2,Bay Of Plenty,Rotorua Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,2
Demand,Crime,2,Bay Of Plenty,Taupo Area,3
Demand,Crime,2,Bay Of Plenty,Taupo Area,7
Demand,Crime,2,Bay Of Plenty,Taupo Area,7
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,3
Demand,Crime,2,Bay Of Plenty,Taupo Area,1
Demand,Crime,2,Bay Of Plenty,Taupo Area,4
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,2
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,13
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,8
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,5
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,6
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,9
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,3
Demand,Crime,2,Bay Of Plenty,Western Bay Of Plenty Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,7
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,93
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,29
Demand,Crime,2,Canterbury,Canterbury Metro Area,51
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,23
Demand,Crime,2,Canterbury,Canterbury Metro Area,59
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,5
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,9
Demand,Crime,2,Canterbury,Canterbury Rural Area,7
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,5
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,12
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,19
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,12
Demand,Crime,2,Canterbury,Canterbury Metro Area,9
Demand,Crime,2,Canterbury,Canterbury Metro Area,18
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,12
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,24
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,8
Demand,Crime,2,Canterbury,Canterbury Metro Area,12
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,47
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,27
Demand,Crime,2,Canterbury,Canterbury Metro Area,47
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,28
Demand,Crime,2,Canterbury,Canterbury Metro Area,36
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,68
Demand,Crime,2,Canterbury,Canterbury Metro Area,13
Demand,Crime,2,Canterbury,Canterbury Metro Area,28
Demand,Crime,2,Canterbury,Canterbury Metro Area,16
Demand,Crime,2,Canterbury,Canterbury Metro Area,31
Demand,Crime,2,Canterbury,Canterbury Metro Area,9
Demand,Crime,2,Canterbury,Canterbury Metro Area,12
Demand,Crime,2,Canterbury,Canterbury Metro Area,10
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,7
Demand,Crime,2,Canterbury,Canterbury Metro Area,18
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,78
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,36
Demand,Crime,2,Canterbury,Canterbury Metro Area,59
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,49
Demand,Crime,2,Canterbury,Canterbury Metro Area,61
Demand,Crime,2,Canterbury,Canterbury Metro Area,6
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,4
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,4
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,5
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,5
Demand,Crime,2,Canterbury,Canterbury Rural Area,6
Demand,Crime,2,Canterbury,Canterbury Rural Area,6
Demand,Crime,2,Canterbury,Canterbury Rural Area,7
Demand,Crime,2,Canterbury,Canterbury Rural Area,8
Demand,Crime,2,Canterbury,Canterbury Rural Area,8
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,3
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,8
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,8
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,5
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,8
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,3
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,20
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,5
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,6
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,15
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,9
Demand,Crime,2,Canterbury,Canterbury Metro Area,14
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,7
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,13
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,5
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,3
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,6
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,8
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,8
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,10
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,4
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,6
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,57
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,18
Demand,Crime,2,Canterbury,Canterbury Metro Area,21
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,14
Demand,Crime,2,Canterbury,Canterbury Metro Area,36
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,8
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,6
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,3
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,2
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,7
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,5
Demand,Crime,2,Canterbury,Canterbury Metro Area,4
Demand,Crime,2,Canterbury,Canterbury Metro Area,6
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,1
Demand,Crime,2,Canterbury,Canterbury Metro Area,2
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Metro Area,26
Demand,Crime,2,Canterbury,Canterbury Metro Area,13
Demand,Crime,2,Canterbury,Canterbury Metro Area,19
Demand,Crime,2,Canterbury,Canterbury Metro Area,9
Demand,Crime,2,Canterbury,Canterbury Metro Area,20
Demand,Crime,2,Canterbury,Canterbury Metro Area,3
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,4
Demand,Crime,2,Canterbury,Canterbury Rural Area,2
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,1
Demand,Crime,2,Canterbury,Canterbury Rural Area,7
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,5
Demand,Crime,2,Canterbury,Mid / South Canterbury Area,1
