Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,495,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1996,524,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,129,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1996,170,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,1083,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1996,1419,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,10062,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1996,4144,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,6896,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1996,1173,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,1087,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,395,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,1170,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,2307,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,1012,
Counties/Manukau District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,90,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,16776,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,6,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2198,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,158,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,59,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,309,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,97,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,1209,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,3574,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,1509,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,1920,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,399,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,1350,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,2861,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,642,
Waikato District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,485,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,16786,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,7,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2144,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,128,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,59,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,322,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,82,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,1305,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,4057,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,1101,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,2453,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,422,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,1394,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,1963,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,1027,
Bay Of Plenty District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,322,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,11360,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,14,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,1556,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,90,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,33,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,295,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,70,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,799,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,2824,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,775,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,1116,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,298,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,972,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,1690,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,772,
Eastern District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,56,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Total Offences,1995,19021,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,11,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2491,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,178,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,103,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,524,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,93,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,1275,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,4394,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,2061,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,2047,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,567,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Property damage and environmental pollution,1995,1822,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Public order offences,1995,2464,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Offences against justice procedures, government security and government operations",1995,904,
Central District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Miscellaneous offences,1995,87,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Homicide and related offences,1995,12,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Acts intended to cause injury,1995,2958,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Sexual assault and related offences,1995,155,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Dangerous or negligent acts endangering persons,1995,92,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Abduction, harassment and other related offences against a person",1995,680,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Robbery, extortion and related offences",1995,172,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Unlawful entry with intent/burglary, break and enter",1995,1278,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Theft and related offences,1995,4484,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,"Fraud, deception and related offences",1995,2047,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Illicit drug offences,1995,1804,
Wellington District,Total Age,Total Gender,Total Ethnicity,Total Resolution,Prohibited and regulated weapons and explosives offences,1995,506,
